city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
ADELAIDE,2008_B/Malaysia/2506/2004-like,2008,B/Vic,B/Malaysia/2506/2004-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2008_A/Brisbane/59/2007-like,2008,H1sea,A/Brisbane/59/2007-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2009_A/California/7/2009-like,2009,H1pdm09,A/California/7/2009-like,Y,12,161,130.1163612,0.930635838,NA,1,Y,1,0,0,56.31193204,A,Y,Y,N,12,Y,12,Y,12,Y
ADELAIDE,2009_A/Brisbane/59/2007-like,2009,H1sea,A/Brisbane/59/2007-like,Y,12,12,9.698113878,0.069364162,1,0,N,0.074534161,0,0,56.31193204,A,Y,N,N,12,N,12,N,12,N
ADELAIDE,2010_A/California/7/2009-like,2010,H1pdm09,A/California/7/2009-like,Y,15,122,97.35878388,1,0,0,Y,1,0,0,56.31193204,A,Y,Y,N,15,Y,15,Y,15,Y
ADELAIDE,2010_A/Perth/16/2009-like,2010,H3,A/Perth/16/2009-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2011_B/Brisbane/60/2008-like,2011,B/Vic,B/Brisbane/60/2008-like,Y,11,197,155.8432107,0.582840237,0,0,Y,1,0,0,56.31193204,B,N,N,N,11,Y,11,Y,11,Y
ADELAIDE,2011_A/California/7/2009-like,2011,H1pdm09,A/California/7/2009-like,Y,13,85,67.24199445,0.25147929,0,0,N,0.431472081,2,0.365253664,56.31193204,A,Y,Y,N,12,N,12,N,13,N
ADELAIDE,2011_A/Perth/16/2009-like,2011,H3,A/Perth/16/2009-like,Y,14,56,44.3006081,0.165680473,1,0,N,0.284263959,3,0.84289307,56.31193204,A,N,N,N,14,N,14,N,14,N
ADELAIDE,2011_B/Florida/4/2006-like,2011,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2011_A/Victoria/361/2011-like,2011,H3,A/Victoria/361/2011-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2012_A/Victoria/361/2011-like,2012,H3,A/Victoria/361/2011-like,Y,8,111,86.86499536,1,1,0,Y,1,0,0,56.31193204,A,Y,Y,Y,11,Y,11,Y,11,Y
ADELAIDE,2012_B/Brisbane/60/2008-like,2012,B/Vic,B/Brisbane/60/2008-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2012_A/Perth/16/2009-like,2012,H3,A/Perth/16/2009-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2012_B/Wisconsin/1/2010-like,2012,B/Yam,B/Wisconsin/1/2010-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
