"","city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size","new_start"
"145","MELBOURNE","2004_B/Shanghai/361/2002-like",2004,"B/Yam","B/Shanghai/361/2002-like","Y",18,21,5.766140181,0.403846154,1,1,"N",0.677419355,2,0.0591549793566833,27.8500413838235,18
"146","MELBOURNE","2005_A/Wisconsin/67/2005-like",2005,"H3","A/Wisconsin/67/2005-like","Y",11,102,27.58716191,0.507462687,1,1,"Y",1,0,0,27.8500413838235,11
"147","MELBOURNE","2005_A/New Caledonia/20/99-like",2005,"H1sea","A/New Caledonia/20/99-like","Y",12,99,26.77577479,0.492537313,0,0,"N",0.970588235,1,0.0194227626371326,27.8500413838235,12
"148","MELBOURNE","2006_A/Wisconsin/67/2005-like",2006,"H3","A/Wisconsin/67/2005-like","Y",11,82,21.80410343,0.706896552,0,0,"Y",1,0,0,27.8500413838235,11
"149","MELBOURNE","2006_B/Malaysia/2506/2004-like",2006,"B/Vic","B/Malaysia/2506/2004-like","Y",11,34,9.040725811,0.293103448,1,0,"N",0.414634146,0,0,27.8500413838235,11
"150","MELBOURNE","2007_A/Wisconsin/67/2005-like",2007,"H3","A/Wisconsin/67/2005-like","Y",14,121,31.49598101,0.528384279,0,0,"Y",1,0,0,27.8500413838235,12
"151","MELBOURNE","2007_A/Solomon Islands/3/2006-like",2007,"H1sea","A/Solomon Islands/3/2006-like","Y",14,77,20.04289701,0.336244541,1,1,"N",0.636363636,0,0,27.8500413838235,12
"152","MELBOURNE","2007_B/Florida/4/2006-like",2007,"B/Yam","B/Florida/4/2006-like","Y",15,31,8.069218275,0.135371179,1,0,"N",0.256198347,1,0.0654247338758384,27.8500413838235,15
"153","MELBOURNE","2008_A/Wisconsin/67/2005-like",2008,"H3","A/Wisconsin/67/2005-like","Y",17,20,5.087197102,0.666666667,0,0,"Y",1,0,0,27.8500413838235,11
"154","MELBOURNE","2008_B/Brisbane/60/2008-like",2008,"B/Vic","B/Brisbane/60/2008-like","Y",17,10,2.543598551,0.333333333,1,1,"N",0.5,0,0,27.8500413838235,17
"155","MELBOURNE","2009_A/California/7/2009-like",2009,"H1pdm09","A/California/7/2009-like","Y",10,85,21.08246294,0.825242718,1,1,"Y",1,0,0,27.8500413838235,10
"156","MELBOURNE","2009_A/Perth/16/2009-like",2009,"H3","A/Perth/16/2009-like","Y",11,18,4.464521563,0.174757282,1,1,"N",0.211764706,1,0.0267176237518578,27.8500413838235,NA
"157","MELBOURNE","2010_A/California/7/2009-like",2010,"H1pdm09","A/California/7/2009-like","Y",14,227,55.28687434,1,0,0,"Y",1,0,0,27.8500413838235,14
"158","MELBOURNE","2011_B/Brisbane/60/2008-like",2011,"B/Vic","B/Brisbane/60/2008-like","Y",11,127,30.46026662,0.404458599,0,0,"Y",1,0,0,27.8500413838235,11
"159","MELBOURNE","2011_A/Perth/16/2009-like",2011,"H3","A/Perth/16/2009-like","Y",15,122,29.26104353,0.388535032,0,0,"N",0.960629921,4,0.284196074295358,27.8500413838235,15
"160","MELBOURNE","2011_A/California/7/2009-like",2011,"H1pdm09","A/California/7/2009-like","Y",14,65,15.58990024,0.207006369,0,0,"N",0.511811024,3,0.0775080202554426,27.8500413838235,11
"161","MELBOURNE","2012_A/Victoria/361/2011-like",2012,"H3","A/Victoria/361/2011-like","Y",9,434,101.6670825,0.868,1,0,"Y",1,0,0,27.8500413838235,12
"162","MELBOURNE","2012_B/Brisbane/60/2008-like",2012,"B/Vic","B/Brisbane/60/2008-like","Y",17,39,9.135982065,0.078,0,0,"N",0.089861751,8,3.08695892427255,27.8500413838235,17
"163","MELBOURNE","2012_A/California/7/2009-like",2012,"H1pdm09","A/California/7/2009-like","Y",11,27,6.324910661,0.054,0,0,"N",0.062211982,2,0.0757019899759021,27.8500413838235,11
"164","MELBOURNE","2013_B/Massachusetts/2/2012-like",2013,"B/Yam","B/Massachusetts/2/2012-like","Y",10,210,48.00086676,0.581717452,1,1,"Y",1,0,0,27.8500413838235,10
"165","MELBOURNE","2013_A/California/7/2009-like",2013,"H1pdm09","A/California/7/2009-like","Y",13,151,34.51490895,0.418282548,0,0,"N",0.719047619,3,0.123110529429786,27.8500413838235,12
"166","MELBOURNE","2014_A/California/7/2009-like",2014,"H1pdm09","A/California/7/2009-like","Y",9,383,85.39323137,0.728136882,0,0,"Y",1,0,0,27.8500413838235,13
"167","MELBOURNE","2014_A/Victoria/361/2011-like",2014,"H3","A/Victoria/361/2011-like","Y",14,143,31.8831125,0.271863118,0,0,"N",0.373368146,5,0.38427317319679,27.8500413838235,14
"168","MELBOURNE","2015_B/Brisbane/60/2008-like",2015,"B/Vic","B/Brisbane/60/2008-like","Y",12,205,44.57354102,0.432489451,0,0,"N",1.164772727,4,0.101494096810645,27.8500413838235,12
"169","MELBOURNE","2015_B/Phuket/3073/2013-like",2015,"B/Yam","B/Phuket/3073/2013-like","Y",8,176,38.2680157,0.371308017,1,0,"Y",1,0,0,27.8500413838235,8
"170","MELBOURNE","2015_A/Switzerland/9715293/2013-like",2015,"H3","A/Switzerland/9715293/2013-like","Y",14,93,20.22116739,0.196202532,1,0,"N",0.528409091,6,0.26544609935668,27.8500413838235,14
