"num_preceding_fortnight","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
1,-0.209869231213869,0.177573,-0.0333840884467981,0.463596,"-0.0334  (0.464)","-0.21  (0.178)"
2,-0.0983735371345813,0.286896,0.0202230874072166,0.552014,"0.0202  (0.552)","-0.0984  (0.287)"
3,-0.0285087898746114,0.419063,0.0423403662398932,0.602492,"0.0423  (0.602)","-0.0285  (0.419)"
