"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","adjusted_d.AH_pvalue","adjusted_d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.551155883984779,0.000971,0.110186007540846,0.668355,1,0.004855,1,"0.11  (0.668)","-0.551  (0.001)"
"BRISBANE",-0.0934498099755217,0.394129,0.14089247311828,0.723874,1,0.788258,1,"0.141  (0.724)","-0.093  (0.394)"
"MELBOURNE",-0.148119020133753,0.166762,-0.313332844932845,0.144667,1,0.500286,0.723335,"-0.313  (0.145)","-0.148  (0.167)"
"PERTH",-0.43772624316045,0.038115,-0.0522039859781797,0.445012,1,0.15246,1,"-0.052  (0.445)","-0.438  (0.038)"
"SYDNEY",0.428530490669972,0.946915,0.273390573870573,0.8767,1,0.946915,1,"0.273  (0.877)","0.429  (0.947)"
"ADELAIDE",-0.347680504710522,0.006957,-0.0089467253176931,0.509097,2,0.034785,1,"-0.009  (0.509)","-0.348  (0.007)"
"BRISBANE",0.106247467745024,0.669615,0.213215053763441,0.861421,2,1,1,"0.213  (0.861)","0.106  (0.67)"
"MELBOURNE",-0.0267700202839717,0.394206,-0.0752208384208384,0.37564,2,1,1,"-0.075  (0.376)","-0.027  (0.394)"
"PERTH",-0.167759279224855,0.179186,-0.0290930521091811,0.465597,2,0.716744,1,"-0.029  (0.466)","-0.168  (0.179)"
"SYDNEY",0.0926575361081703,0.668632,0.159146935286935,0.812545,2,1,1,"0.159  (0.813)","0.093  (0.669)"
"ADELAIDE",-0.237941347512267,0.036087,-0.00518977438332293,0.511925,3,0.180435,1,"-0.005  (0.512)","-0.238  (0.036)"
"BRISBANE",-0.00490045107292601,0.495215,0.149143985047211,0.809079,3,1,1,"0.149  (0.809)","-0.005  (0.495)"
"MELBOURNE",-0.0340564093825842,0.355749,0.0171444308777643,0.5381,3,1,1,"0.017  (0.538)","-0.034  (0.356)"
"PERTH",-0.00639118694127638,0.436207,-0.100464991400475,0.327181,3,1,1,"-0.1  (0.327)","-0.006  (0.436)"
"SYDNEY",0.0733296109210268,0.662682,0.0717056084656085,0.687227,3,1,1,"0.072  (0.687)","0.073  (0.663)"
