"model","RSE","Rsquared","adjusted_Rsquared"
"Full Model",0.689,0.389,0.344
"Model 1",0.786,0.198,0.148
"Model 2",0.694,0.367,0.335
"Model 3",0.686,0.383,0.351
"Model 4",0.714,0.338,0.297
"Model 5",0.729,0.309,0.267
