"num_preceding_fortnight","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
1,-0.160384093316906,0.23628,0.0317864447237348,0.558734,"0.0318  (0.559)","-0.16  (0.236)"
2,-0.0686609600732308,0.345049,0.0518202746405326,0.610728,"0.0518  (0.611)","-0.0687  (0.345)"
3,-0.0419919567976054,0.384462,0.0264678517213571,0.56841,"0.0265  (0.568)","-0.042  (0.384)"
