"model","predictor","Estimate","Std. Error","t value","Pr(>|t|)"
"Full Model","(Intercept)",2.43,0.883,2.75,0.00706
"Full Model","start",-0.157,0.0336,-4.68,9.49e-06
"Full Model","first_in_season",0.362,0.236,1.53,0.129
"Full Model","prior_activity_other_subtypes|first_in_season==F",-0.105,0.095,-1.1,0.273
"Full Model","new_ag_maker",-0.0801,0.214,-0.374,0.709
"Full Model","cumulative_activity_same_variant|new_ag_maker==F",-0.0426,0.0783,-0.544,0.588
"Full Model","early_ah",-0.242,0.138,-1.76,0.0824
"Full Model","early_temp",0.116,0.0669,1.73,0.0862
"Model 1","(Intercept)",-0.531,0.678,-0.783,0.435
"Model 1","first_in_season",0.941,0.222,4.24,5.01e-05
"Model 1","prior_activity_other_subtypes|first_in_season==F",-0.203,0.102,-1.98,0.0503
"Model 1","new_ag_maker",-0.0535,0.236,-0.227,0.821
"Model 1","cumulative_activity_same_variant|new_ag_maker==F",0.00802,0.0855,0.0939,0.925
"Model 1","early_ah",-0.0155,0.142,-0.109,0.914
"Model 1","early_temp",0.00615,0.0691,0.089,0.929
"Model 2","(Intercept)",3.15,0.747,4.22,5.56e-05
"Model 2","start",-0.183,0.028,-6.54,2.82e-09
"Model 2","new_ag_maker",-0.0545,0.213,-0.256,0.798
"Model 2","cumulative_activity_same_variant|new_ag_maker==F",-0.0491,0.0767,-0.64,0.524
"Model 2","early_ah",-0.247,0.138,-1.79,0.0767
"Model 2","early_temp",0.111,0.0666,1.67,0.0979
"Model 3","(Intercept)",2.27,0.825,2.75,0.00705
"Model 3","start",-0.154,0.0328,-4.71,8.12e-06
"Model 3","first_in_season",0.372,0.23,1.61,0.11
"Model 3","prior_activity_other_subtypes|first_in_season==F",-0.0996,0.0934,-1.07,0.289
"Model 3","early_ah",-0.218,0.129,-1.69,0.0941
"Model 3","early_temp",0.105,0.0626,1.67,0.0978
"Model 4","(Intercept)",1.49,0.709,2.1,0.0382
"Model 4","start",-0.136,0.0318,-4.29,4.2e-05
"Model 4","first_in_season",0.373,0.239,1.56,0.122
"Model 4","prior_activity_other_subtypes|first_in_season==F",-0.101,0.096,-1.05,0.297
"Model 4","new_ag_maker",-0.0232,0.214,-0.108,0.914
"Model 4","cumulative_activity_same_variant|new_ag_maker==F",-7.52e-05,0.0752,-0.001,0.999
"Model 4","early_temp",0.0136,0.0332,0.411,0.682
"Model 5","(Intercept)",1.97,0.851,2.32,0.0226
"Model 5","start",-0.137,0.0318,-4.3,4.05e-05
"Model 5","first_in_season",0.346,0.238,1.45,0.149
"Model 5","prior_activity_other_subtypes|first_in_season==F",-0.0881,0.0955,-0.922,0.359
"Model 5","new_ag_maker",-0.0306,0.215,-0.143,0.887
"Model 5","cumulative_activity_same_variant|new_ag_maker==F",-0.000809,0.0752,-0.0108,0.991
"Model 5","early_ah",-0.0338,0.0683,-0.494,0.622
