"num_preceding_fortnight","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
1,-0.209869231213869,0.177494,-0.0333840884467981,0.463854,"-0.0334  (0.464)","-0.21  (0.177)"
2,-0.0983735371345813,0.285146,0.0202230874072166,0.551108,"0.0202  (0.551)","-0.0984  (0.285)"
3,-0.0285087898746114,0.419059,0.0423403662398932,0.602232,"0.0423  (0.602)","-0.0285  (0.419)"
