"num_preceding_fortnight","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
1,-0.249559522780942,0.138266,-0.0818012376058828,0.393391,"-0.0818  (0.393)","-0.25  (0.138)"
2,-0.114719864114551,0.256174,0.00491302829070591,0.523501,"0.00491  (0.524)","-0.115  (0.256)"
3,-0.0351446042634261,0.402498,0.0359582990836325,0.589082,"0.036  (0.589)","-0.0351  (0.402)"
