"city","year","weeks_since_start_of_year","mean_AH","mean_SH","mean_RH","mean_rainfall","mean_temp","mean_AH_for_that_week_of_year","mean_SH_for_that_week_of_year","mean_RH_for_that_week_of_year","mean_rainfall_for_that_week_of_year","mean_temp_for_that_week_of_year","d.AH","d.SH","d.RH","d.rainfall","d.temp"
"ADELAIDE",2015,26,7.14532692441261,5.62898047955136,75.2857142857143,0.108571428571429,10.1571428571429,7.71667126867775,6.15717289081371,74.6820276497696,1.9384331797235,11.5036866359447,-0.571344344265137,-0.528192411262341,0.603686635944712,-1.82986175115207,-1.34654377880184
"ADELAIDE",2015,27,7.63280288489206,6.09567696895295,74.5714285714286,1.05142857142857,11.3428571428571,7.5919865697768,6.07493643992778,74.3786482334869,2.05774193548387,11.3345622119816,0.0408163151152561,0.020740529025165,0.192780337941628,-1.0063133640553,0.00829493087557509
"ADELAIDE",2015,28,7.45419394201911,5.98628807042196,71.5714285714286,3.62857142857143,11.6428571428571,7.62717242611932,6.06819588486755,76.0322580645161,1.87427803379416,11.0332565284178,-0.172978484100212,-0.0819078144455938,-4.46082949308756,1.75429339477727,0.609600614439323
"ADELAIDE",2015,29,6.2565762709599,4.93749610715039,70.7142857142857,0.652857142857143,9.04285714285714,7.36551915932271,5.90795754761594,74.7926267281106,1.44718894009217,10.7414746543779,-1.10894288836281,-0.970461440465551,-4.0783410138249,-0.794331797235023,-1.69861751152074
"ADELAIDE",2015,30,7.20680336918743,5.74056300486815,72,0.98,10.9571428571429,7.48031599299515,5.98342100751951,74.0384024577573,1.60109831029186,11.1775729646697,-0.27351262380772,-0.242858002651366,-2.0384024577573,-0.621098310291859,-0.220430107526882
"ADELAIDE",2015,31,7.94233897030413,6.34235737678726,78.8571428571429,2.83142857142857,11.1,7.36233448472455,5.77751889121774,72.2611367127496,1.72536098310292,11.294930875576,0.580004485579585,0.564838485569517,6.59600614439324,1.10606758832565,-0.194930875576038
"ADELAIDE",2015,32,7.42377584206487,5.95542133824475,72.8571428571429,0.942857142857143,11.4142857142857,7.51089689187931,6.00298303811969,73.6827956989247,1.40271889400922,11.3396313364055,-0.0871210498144341,-0.0475616998749446,-0.825652841781874,-0.459861751152074,0.0746543778801847
"ADELAIDE",2015,33,8.25977815995853,6.5942600708191,77,0.291428571428571,12.3,7.32759952446745,5.86418959014496,70.184331797235,1.44914746543779,11.8014592933948,0.932178635491087,0.73007048067414,6.81566820276498,-1.15771889400922,0.498540706605223
"ADELAIDE",2015,34,7.25638797551653,5.8304051840113,67.2857142857143,0.724285714285714,12.2142857142857,7.38075819230128,5.9282056071817,70.136712749616,1.62220430107527,11.9188940092166,-0.124370216784749,-0.0978004231703968,-2.85099846390169,-0.897918586789555,0.295391705069125
"ADELAIDE",2015,35,6.75812856841573,5.41880613476619,65.1428571428571,1.88714285714286,11.6714285714286,7.61568663713925,6.21677554496863,68.3778801843318,1.72249615975422,12.9496159754224,-0.85755806872352,-0.79796941020244,-3.23502304147466,0.164646697388633,-1.27818740399386
"ADELAIDE",2015,36,7.94953097947457,6.3430159168295,74.4285714285714,0.327142857142857,12.0571428571429,7.60732094137917,6.20291690987649,66.9377880184332,1.54401689708141,13.3132104454685,0.342210038095404,0.140099006953006,7.49078341013825,-1.21687403993856,-1.25606758832565
"ADELAIDE",2015,37,6.82070383324249,5.54802806553357,50.7142857142857,0,16.8142857142857,7.60096747575111,6.23082445713305,65.8617511520737,1.60170506912442,13.5354838709677,-0.780263642508619,-0.682796391599473,-15.147465437788,-1.60170506912442,3.27880184331797
"ADELAIDE",2015,38,6.56044654426065,5.23710830782119,59.5714285714286,0.0714285714285714,12.5714285714286,7.7165156966307,6.35145226073092,64.0920122887865,1.47513210445469,14.3015360983103,-1.15606915237005,-1.11434395290973,-4.52058371735791,-1.40370353302611,-1.73010752688172
"ADELAIDE",2015,39,6.37452975393342,5.10715754092906,56.2857142857143,0,13.1142857142857,7.56198243400382,6.31467665652282,60.9861751152074,1.14193548387097,14.746267281106,-1.1874526800704,-1.20751911559376,-4.70046082949309,-1.14193548387097,-1.63198156682028
"ADELAIDE",2015,40,5.72327562489877,4.66703603976424,37.7142857142857,0,19.8571428571429,7.7459904860226,6.43629746610737,61.6996927803379,1.24952380952381,15.0192012288786,-2.02271486112382,-1.76926142634312,-23.9854070660522,-1.24952380952381,4.83794162826421
"ADELAIDE",2015,41,8.12904518350071,6.63392000480384,54.8333333333333,0,18.6571428571429,7.47426795796726,6.2058971723817,57.7903225806452,0.836136712749616,15.5956989247312,0.654777225533446,0.428022832422142,-2.95698924731182,-0.836136712749616,3.06144393241168
"ADELAIDE",2015,42,8.58848610886892,7.070444668616,53.2857142857143,0.69,19.5857142857143,7.54325099230772,6.21622986525733,56.5668202764977,1.23479262672811,16.2861751152074,1.04523511656121,0.854214803358671,-3.28110599078341,-0.544792626728111,3.29953917050691
"ADELAIDE",2015,43,7.73161070225531,6.31470385663019,54.1428571428571,0,17.4571428571429,7.66850326804469,6.34552465317468,55.9078341013825,0.704516129032258,16.6004608294931,0.0631074342106244,-0.0308207965444902,-1.76497695852535,-0.704516129032258,0.856682027649768
"ADELAIDE",2015,44,10.9617822721035,9.0934884075166,66.5714285714286,1.85,19.2142857142857,8.12455605027458,6.71269538749686,56.6866359447005,1.34165898617512,17.3414746543779,2.83722622182892,2.38079302001974,9.88479262672811,0.508341013824885,1.87281105990784
"ADELAIDE",2015,45,9.40294804851184,7.78523251045595,55.7142857142857,0.0357142857142857,20.4714285714286,8.11560003694804,6.63868571715757,54.3732718894009,0.84963133640553,18.1126728110599,1.2873480115638,1.14654679329838,1.34101382488479,-0.813917050691244,2.35875576036866
"ADELAIDE",2015,46,7.77298062368934,6.43261219044327,46.5714285714286,0,20.1285714285714,8.07893439311382,6.6881466707571,51.4428571428571,0.391857142857143,18.9161904761905,-0.305953769424487,-0.255534480313831,-4.87142857142857,-0.391857142857143,1.21238095238095
"ADELAIDE",2015,47,8.20164298574549,6.75167408257848,52.5714285714286,0.0357142857142857,18.3857142857143,8.31299227783155,6.77476376356526,52.9952380952381,0.890380952380952,18.8671428571429,-0.111349292086063,-0.0230896809867849,-0.423809523809524,-0.854666666666667,-0.48142857142857
"ADELAIDE",2015,48,7.45117180636159,6.10323299617451,52.2857142857143,0.0357142857142857,16.6,8.62858222968247,6.96455093099887,52.2741935483871,0.567442396313364,19.6935483870968,-1.17741042332088,-0.861317934824362,0.0115207373271886,-0.531728110599078,-3.09354838709678
"ADELAIDE",2015,49,8.32941251389593,7.00575543659975,40,0.29,24.9571428571429,8.7968933245995,7.39674398600846,53.2488479262673,0.998341013824885,19.7774193548387,-0.46748081070357,-0.390988549408713,-13.2488479262673,-0.708341013824885,5.17972350230415
"ADELAIDE",2015,50,8.11579847273521,6.81333086452876,40.8571428571429,0.108571428571429,23.0714285714286,8.74737330309721,7.32610850667542,52.4230414746544,0.891981566820276,20.0206605222734,-0.631574830362004,-0.512777642146669,-11.5658986175115,-0.783410138248848,3.05076804915515
"ADELAIDE",2015,51,9.50992820662731,8.06591326981274,41.7142857142857,0.617142857142857,25.1142857142857,9.17601389872155,7.7737842323212,52.8202764976959,1.07714285714286,20.6345622119816,0.333914307905754,0.292129037491548,-11.1059907834101,-0.46,4.47972350230415
"ADELAIDE",2015,52,7.03579107477869,5.90193881202804,34.4285714285714,0.108571428571429,23.7428571428571,8.6778200794916,7.22235930585703,50.61866359447,0.233917050691244,20.3514976958525,-1.64202900471291,-1.320420493829,-16.1900921658986,-0.125345622119816,3.39135944700461
"BRISBANE",1985,1,17.1885769820233,14.6591429226576,67.5714285714286,5.29714285714286,26.9857142857143,16.3349516932104,13.6612886243,71.5760368663594,3.94225806451613,24.7903225806452,0.853625288812928,0.997854298357542,-4.00460829493088,1.35488479262673,2.19539170506912
"BRISBANE",1985,2,16.060226910549,13.6221667614213,67.1428571428571,0.218571428571429,25.5714285714286,16.102428443368,13.375351722885,69.7941628264209,2.04827188940092,24.9512288786482,-0.0422015328190177,0.24681503853621,-2.65130568356375,-1.82970046082949,0.620199692780336
"BRISBANE",1985,3,14.5336915777562,12.2944432115066,63.2857142857143,0,24.9142857142857,16.4455488631864,13.8941405819815,70.6175115207373,3.64866359447005,25.1433179723502,-1.91185728543024,-1.59969737047487,-7.33179723502304,-3.64866359447005,-0.229032258064517
"BRISBANE",1985,4,16.3824766728433,13.8288240945021,70.4285714285714,3.84571428571429,25.1142857142857,16.8299288496213,13.9625918773732,72.6589861751152,5.77166666666667,25.0327188940092,-0.447452176777936,-0.133767782871107,-2.23041474654377,-1.92595238095238,0.0815668202764961
"BRISBANE",1985,5,14.5571413010251,12.2412756976337,63.4285714285714,0.651428571428571,24.9142857142857,16.8430851483531,14.1526479029204,72.4562211981567,4.32958525345622,25.1322580645161,-2.28594384732801,-1.91137220528671,-9.02764976958525,-3.67815668202765,-0.217972350230415
